tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_M_vp,labels_M_fp,labels_M_fn,labels_M_precision,labels_M_recall,labels_M_f_measure,labels_B_vp,labels_B_fp,labels_B_fn,labels_B_precision,labels_B_recall,labels_B_f_measure
40,5,0.9821428571428571,0.017857142857142905,0.9883720930232558,0.9821428571428571,0.9642857142857143,0.9821428571428571,13,0,1,1.0,0.9285714285714286,0.962962962962963,42,1,0,0.9767441860465116,1.0,0.988235294117647
40,5,0.9642857142857143,0.0357142857142857,0.9619047619047618,0.9642857142857143,0.9619047619047618,0.9642857142857143,20,1,1,0.9523809523809523,0.9523809523809523,0.9523809523809523,34,1,1,0.9714285714285714,0.9714285714285714,0.9714285714285714
40,5,0.9821428571428571,0.017857142857142905,0.9772727272727273,0.9821428571428571,0.9857142857142858,0.9821428571428571,21,1,0,0.9545454545454546,1.0,0.9767441860465117,34,0,1,1.0,0.9714285714285714,0.9855072463768115
40,5,0.9821428571428571,0.017857142857142905,0.9722222222222222,0.9821428571428571,0.9871794871794872,0.9821428571428571,17,1,0,0.9444444444444444,1.0,0.9714285714285714,38,0,1,1.0,0.9743589743589743,0.9870129870129869
40,5,0.8928571428571429,0.1071428571428571,0.9285714285714286,0.8928571428571429,0.85,0.8928571428571429,14,0,6,1.0,0.7,0.8235294117647058,36,6,0,0.8571428571428571,1.0,0.923076923076923
40,5,0.9692307692307692,0.03076923076923077,0.9663561076604554,0.9692307692307692,0.9663561076604554,0.9692307692307692,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,41,1,1,0.9761904761904762,0.9761904761904762,0.9761904761904762
45,5,0.9642857142857143,0.0357142857142857,0.9696969696969697,0.9642857142857143,0.96,0.9642857142857143,23,0,2,1.0,0.92,0.9583333333333334,31,2,0,0.9393939393939394,1.0,0.96875
45,5,0.9821428571428571,0.017857142857142905,0.984375,0.9821428571428571,0.98,0.9821428571428571,24,0,1,1.0,0.96,0.9795918367346939,31,1,0,0.96875,1.0,0.9841269841269841
45,5,0.9642857142857143,0.0357142857142857,0.9590643274853801,0.9642857142857143,0.9590643274853801,0.9642857142857143,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,37,1,1,0.9736842105263158,0.9736842105263158,0.9736842105263158
45,5,0.9464285714285714,0.0535714285714286,0.9210526315789473,0.9464285714285714,0.9625,0.9464285714285714,16,3,0,0.8421052631578947,1.0,0.9142857142857143,37,0,3,1.0,0.925,0.961038961038961
45,5,0.9642857142857143,0.0357142857142857,0.972972972972973,0.9642857142857143,0.9523809523809523,0.9642857142857143,19,0,2,1.0,0.9047619047619048,0.9500000000000001,35,2,0,0.9459459459459459,1.0,0.9722222222222222
45,5,0.9464285714285714,0.0535714285714286,0.9571428571428571,0.9464285714285714,0.9375,0.9464285714285714,21,0,3,1.0,0.875,0.9333333333333333,32,3,0,0.9142857142857143,1.0,0.955223880597015
45,5,0.9642857142857143,0.0357142857142857,0.9714285714285714,0.9642857142857143,0.9565217391304348,0.9642857142857143,21,0,2,1.0,0.9130434782608695,0.9545454545454545,33,2,0,0.9428571428571428,1.0,0.9705882352941176
45,5,0.9821428571428571,0.017857142857142905,0.9838709677419355,0.9821428571428571,0.9807692307692308,0.9821428571428571,25,0,1,1.0,0.9615384615384616,0.9803921568627451,30,1,0,0.967741935483871,1.0,0.9836065573770492
45,5,0.9642857142857143,0.0357142857142857,0.9577677224736048,0.9642857142857143,0.9577677224736048,0.9642857142857143,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353,38,1,1,0.9743589743589743,0.9743589743589743,0.9743589743589743
45,5,0.9692307692307692,0.03076923076923077,0.960171568627451,0.9692307692307692,0.960171568627451,0.9692307692307692,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353,47,1,1,0.9791666666666666,0.9791666666666666,0.9791666666666666
50,5,0.9642857142857143,0.0357142857142857,0.961111111111111,0.9642857142857143,0.961111111111111,0.9642857142857143,19,1,1,0.95,0.95,0.9500000000000001,35,1,1,0.9722222222222222,0.9722222222222222,0.9722222222222222
50,5,1.0,0.0,1.0,1.0,1.0,1.0,19,0,0,1.0,1.0,1.0,37,0,0,1.0,1.0,1.0
50,5,0.9821428571428571,0.017857142857142905,0.9848484848484849,0.9821428571428571,0.9791666666666667,0.9821428571428571,23,0,1,1.0,0.9583333333333334,0.9787234042553191,32,1,0,0.9696969696969697,1.0,0.9846153846153847
50,5,0.9285714285714286,0.0714285714285714,0.9545454545454546,0.9285714285714286,0.875,0.9285714285714286,12,0,4,1.0,0.75,0.8571428571428571,40,4,0,0.9090909090909091,1.0,0.9523809523809523
50,5,0.9285714285714286,0.0714285714285714,0.9331550802139037,0.9285714285714286,0.921875,0.9285714285714286,21,1,3,0.9545454545454546,0.875,0.9130434782608695,31,3,1,0.9117647058823529,0.96875,0.9393939393939394
50,5,0.9464285714285714,0.0535714285714286,0.9466571834992887,0.9464285714285714,0.9361111111111111,0.9464285714285714,18,1,2,0.9473684210526315,0.9,0.9230769230769231,35,2,1,0.9459459459459459,0.9722222222222222,0.9589041095890412
50,5,0.9285714285714286,0.0714285714285714,0.9321266968325792,0.9285714285714286,0.9075391180654339,0.9285714285714286,16,1,3,0.9411764705882353,0.8421052631578947,0.8888888888888888,36,3,1,0.9230769230769231,0.972972972972973,0.9473684210526315
50,5,0.9464285714285714,0.0535714285714286,0.9571428571428571,0.9464285714285714,0.9375,0.9464285714285714,21,0,3,1.0,0.875,0.9333333333333333,32,3,0,0.9142857142857143,1.0,0.955223880597015
50,5,0.9821428571428571,0.017857142857142905,0.9722222222222222,0.9821428571428571,0.9871794871794872,0.9821428571428571,17,1,0,0.9444444444444444,1.0,0.9714285714285714,38,0,1,1.0,0.9743589743589743,0.9870129870129869
50,5,0.9692307692307692,0.03076923076923077,0.9688697318007663,0.9692307692307692,0.9688697318007663,0.9692307692307692,28,1,1,0.9655172413793104,0.9655172413793104,0.9655172413793104,35,1,1,0.9722222222222222,0.9722222222222222,0.9722222222222222
